airline,registration,aircraft,age,origin,destination,full_route,direction,special,flight_number,frequency,flight_time,flight_distance,origin_category,destination_category
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",马德里巴拉哈斯,浦东,马德里巴拉哈斯—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",杭州,马德里巴拉哈斯,杭州—马德里巴拉哈斯,出口,,,正常运营,,,国内,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",马德里巴拉哈斯,杭州,马德里巴拉哈斯—杭州,进口,,,正常运营,,,国际,国内
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",杭州,马德里巴拉哈斯,杭州—列日—马德里巴拉哈斯,出口,,,正常运营,,,国内,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",马德里巴拉哈斯,杭州,马德里巴拉哈斯—杭州,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,首尔,上海浦东—首尔,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",首尔,上海,首尔—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,河内,上海浦东-曼谷-河内,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",河内,上海,河内—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,洛杉矶,上海浦东—洛杉矶,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",洛杉矶,上海,洛杉矶—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,阿姆斯特丹,上海浦东—阿姆斯特丹,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",阿姆斯特丹,上海,阿姆斯特丹—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,大阪,上海浦东—大阪,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",大阪,上海,大阪—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,法兰克福,上海浦东—法兰克福,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",法兰克福,上海,法兰克福—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,芝加哥,上海浦东-安克雷奇-芝加哥,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",芝加哥,上海,芝加哥—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,阿姆斯特丹,上海浦东-法兰克福-阿姆斯特丹,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",阿姆斯特丹,上海,阿姆斯特丹—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,新加坡,上海浦东—新加坡,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",新加坡,上海,新加坡-河内-上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,东京,上海浦东—东京成田,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",东京,上海,东京成田—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,伦敦,上海浦东-深圳-伦敦斯坦斯特德,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",伦敦,上海,伦敦斯坦斯特德—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,洛杉矶,上海浦东-深圳-洛杉矶,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",洛杉矶,上海,洛杉矶-深圳-上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,东京,上海浦东—东京成田,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",东京,上海,东京成田—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,新加坡,上海浦东—新加坡,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",新加坡,上海,新加坡-河内-上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,大阪,上海浦东—大阪,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",大阪,上海,大阪—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,法兰克福,上海浦东—法兰克福,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",法兰克福,上海,法兰克福—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,芝加哥,上海浦东-安克雷奇-芝加哥,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",芝加哥,上海,芝加哥—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,曼谷,上海浦东—曼谷,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",曼谷,上海,曼谷—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,阿姆斯特丹,上海浦东—阿姆斯特丹,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",阿姆斯特丹,上海,阿姆斯特丹—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,列日,上海浦东-合肥-列日,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",列日,上海,列日-合肥-上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,首尔,上海浦东—首尔,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",首尔,上海,首尔—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,纽约,上海浦东-安克雷奇-纽约肯尼迪,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",纽约,上海,纽约肯尼迪—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",深圳,伦敦,深圳—伦敦斯塔斯特德,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",伦敦,上海,伦敦斯塔斯特德—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,洛杉矶,上海浦东—洛杉矶,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",洛杉矶,上海,洛杉矶—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,布达佩斯,上海浦东—布达佩斯,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",布达佩斯,上海,布达佩斯—上海浦东,进口,,,正常运营,,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",上海,伦敦,上海浦东-深圳-伦敦斯坦斯特德,出口,,,正常运营,,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",伦敦,上海,伦敦斯坦斯特德—上海浦东,进口,,,正常运营,,,国际,国内
邮政航空,B-2662,B737-3Q8（SF）,32.2,杭州,东京,杭州萧山—东京成田,出口,,,正常运营,,,国内,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,东京,杭州,东京成田—杭州萧山,进口,,,正常运营,,,国际,国内
邮政航空,B-2662,B737-3Q8（SF）,32.2,杭州,东京,杭州萧山—东京成田,出口,,,正常运营,,,国内,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,东京,杭州,东京成田—杭州萧山,进口,,,正常运营,,,国际,国内
邮政航空,B-2662,B737-3Q8（SF）,32.2,杭州,东京,杭州萧山—东京成田,出口,,,正常运营,,,国内,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,东京,杭州,东京成田—杭州萧山,进口,,,正常运营,,,国际,国内
邮政航空,B-2662,B737-3Q8（SF）,32.2,杭州,东京,杭州萧山—东京成田,出口,,,正常运营,,,国内,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,东京,杭州,东京成田—杭州萧山,进口,,,正常运营,,,国际,国内
邮政航空,B-2662,B737-3Q8（SF）,32.2,义乌,马尼拉,义乌—马尼拉尼诺阿基诺,出口,,,正常运营,,,国际,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,马尼拉,义乌,马尼拉尼诺阿基诺—义乌,进口,,,正常运营,,,国际,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,义乌,关西,义乌—关西,出口,,,正常运营,,,国际,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,关西,义乌,关西—义乌,进口,,,正常运营,,,国际,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,义乌,克拉克,义乌—克拉克,出口,,,正常运营,,,国际,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,克拉克,义乌,克拉克—义乌,进口,,,正常运营,,,国际,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,上海,关西,上海浦东—关西,出口,,,正常运营,,,国内,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,关西,上海,关西—上海浦东,进口,,,正常运营,,,国际,国内
邮政航空,B-2662,B737-3Q8（SF）,32.2,上海,东京,上海浦东—东京成田,出口,,,正常运营,,,国内,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,东京,上海,东京成田—上海浦东,进口,,,正常运营,,,国际,国内
邮政航空,B-2662,B737-3Q8（SF）,32.2,上海,关西,上海浦东—关西,出口,,,正常运营,,,国内,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,关西,上海,关西—上海浦东,进口,,,正常运营,,,国际,国内
邮政航空,B-2662,B737-3Q8（SF）,32.2,上海,东京,上海浦东—东京成田,出口,,,正常运营,,,国内,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,东京,上海,东京成田—上海浦东,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,昆明,金奈,昆明长水—金奈,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,金奈,昆明,金奈—昆明长水,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,昆明,达卡,昆明长水—达卡沙阿贾拉勒,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,达卡,昆明,达卡沙阿贾拉勒—昆明长水,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,昆明,达卡,昆明长水—达卡沙阿贾拉勒,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,达卡,昆明,达卡沙阿贾拉勒—昆明长水,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,昆明,金奈,昆明长水—金奈,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,金奈,昆明,金奈—昆明长水,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,杭州,达卡,杭州萧山—达卡沙阿贾拉勒,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,达卡,杭州,达卡沙阿贾拉勒—杭州萧山,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,乌鲁木齐,巴库比纳,乌鲁木齐—巴库比纳,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,巴库比钠,乌鲁木齐,巴库比钠—乌鲁木齐,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,昆明,达卡,昆明长水—达卡沙阿贾拉勒,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,达卡,昆明,达卡沙阿贾拉勒—昆明长水,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,昆明,金奈,昆明长水—金奈,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,金奈,昆明,金奈—昆明长水,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,昆明,金奈,昆明长水—金奈,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,金奈,昆明,金奈—昆明长水,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,昆明,达卡,昆明长水—达卡沙阿贾拉勒,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,达卡,昆明,达卡沙阿贾拉勒—昆明长水,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,温州,马尼拉,温州龙湾—马尼拉尼诺阿基诺,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,马尼拉,温州,马尼拉尼诺阿基诺—温州龙湾,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,温州,首尔,温州龙湾—首尔仁川,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,首尔,温州,首尔仁川—温州龙湾,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,杭州,科伦坡,杭州萧山—苏巴斯·钱德拉·鲍斯,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,科伦坡,杭州,苏巴斯·钱德拉·鲍斯-阿勒马克图姆—杭州萧山,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,杭州,迪拜,杭州萧山—阿勒马克图姆,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,迪拜,杭州,阿勒马克图姆—杭州萧山,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,杭州,阿斯塔纳,杭州萧山—努尔苏丹纳扎尔巴耶夫,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,阿斯塔纳,杭州,努尔苏丹纳扎尔巴耶夫-布达佩斯—杭州萧山,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,杭州,达卡,杭州萧山—达卡沙阿贾拉勒,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,达卡,杭州,达卡沙阿贾拉勒—杭州萧山,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,杭州,阿斯塔纳,杭州萧山—努尔苏丹纳扎尔巴耶夫,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,阿斯塔纳,杭州,努尔苏丹纳扎尔巴耶夫-布达佩斯—杭州萧山,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,杭州,布达佩斯,杭州萧山—布达佩斯,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,布达佩斯,杭州,布达佩斯—杭州萧山,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,杭州,科伦坡,杭州萧山—苏巴斯·钱德拉·鲍斯,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,科伦坡,杭州,苏巴斯·钱德拉·鲍斯-阿勒马克图姆—杭州萧山,进口,,,正常运营,,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,杭州,达卡,杭州萧山—达卡沙阿贾拉勒,出口,,,正常运营,,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,达卡,杭州,达卡沙阿贾拉勒—杭州萧山,进口,,,正常运营,,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,河内,郑州—河内,出口,,,正常运营,,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,河内,郑州,河内—郑州,进口,,,正常运营,,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,关西,郑州—关西,出口,,,正常运营,,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,关西,郑州,关西—郑州,进口,,,正常运营,,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,首尔,郑州—首尔,出口,,,正常运营,,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,首尔,郑州,首尔—郑州,进口,,,正常运营,,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,宁波,胡志明市,宁波—胡志明,出口,,,正常运营,,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,胡志明市,宁波,胡志明—宁波,进口,,,正常运营,,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,宁波,关西,宁波—关西,出口,,,正常运营,,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,关西,宁波,关西—宁波,进口,,,正常运营,,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,宁波,东京,宁波—东京成田,出口,,,正常运营,,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,东京,宁波,东京成田—宁波,进口,,,正常运营,,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,南宁,马尼拉,南宁—马尼拉,出口,,,正常运营,,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,马尼拉,南宁,马尼拉—南宁,进口,,,正常运营,,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,首尔,郑州—首尔,出口,,,正常运营,,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,首尔,郑州,首尔—郑州,进口,,,正常运营,,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,河内,郑州—河内,出口,,,正常运营,,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,河内,郑州,河内—郑州,进口,,,正常运营,,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,首尔,郑州—首尔,出口,,,正常运营,,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,首尔,郑州,首尔—郑州,进口,,,正常运营,,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,河内,郑州—河内,出口,,,正常运营,,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,布达佩斯,郑州—布达佩斯,出口,,,正常运营,,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,布达佩斯,郑州,布达佩斯—郑州,进口,,,正常运营,,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,金奈,郑州—金奈,出口,,,正常运营,,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,金奈,郑州,金奈—郑州,进口,,,正常运营,,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,列日,郑州—列日,出口,,,正常运营,,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,列日,郑州,列日—郑州,进口,,,正常运营,,,国际,国内
